Package,Built
tidyverse,3.5.2
tinytex,3.5.2
TraMineR,3.5.1
transformr,3.5.1
tsibble,3.5.1
tweenr,3.5.1
udapi,3.5.2
units,3.5.2
UpSetR,3.5.1
usethis,3.5.2
utf8,3.5.2
vctrs,3.5.1
viridis,3.5.2
viridisLite,3.5.2
visdat,3.5.2
visreg,3.5.1
wdman,3.5.1
whisker,3.5.2
whoami,3.5.1
widgetframe,3.5.1
withr,3.5.2
WrapRmd,3.5.1
xaringan,3.5.2
xfun,3.5.2
xml2,3.5.2
xopen,3.5.2
xtable,3.5.2
xts,3.5.1
yaml,3.5.2
yardstick,3.5.1
yesno,3.5.2
zeallot,3.5.1
zip,3.5.2
zoo,3.5.2
